Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2016-11-10,194.75,206.0,194.65,200.95,201.2,1069480.0,2157.0
2016-11-09,181.35,193.0,181.35,188.3,188.2,1456551.0,2698.52
2016-11-08,203.4,208.25,197.2,201.0,201.45,1405026.0,2855.3
2016-11-07,185.85,199.65,185.85,199.65,199.2,1699810.0,3337.23
2016-11-04,194.9,194.9,176.45,181.0,181.5,1482973.0,2703.32
2016-11-03,201.9,207.95,192.65,194.2,194.6,826043.0,1657.79
2016-11-02,212.9,212.9,198.3,201.75,201.85,1053698.0,2153.78
2016-11-01,215.25,221.5,214.05,214.95,215.1,843204.0,1834.94
2016-10-30,219.7,220.4,215.6,216.5,216.85,300489.0,654.55
2016-10-28,219.0,222.75,214.7,218.05,218.45,867097.0,1900.19
2016-10-27,217.85,221.6,212.55,218.0,217.8,1223941.0,2672.24
2016-10-26,216.8,227.5,211.55,217.3,217.55,2309312.0,5090.1
2016-10-25,213.8,224.6,212.9,217.25,216.8,3021428.0,6655.46
2016-10-24,188.1,208.75,188.1,208.75,208.75,3437133.0,6942.23
2016-10-21,181.2,194.65,176.1,188.5,189.8,2133583.0,3993.33
2016-10-20,181.0,186.0,178.0,180.0,180.6,2327228.0,4223.73
2016-10-19,174.6,177.9,172.6,174.3,174.95,733210.0,1287.89
2016-10-18,176.7,177.1,172.05,173.8,173.95,557689.0,971.39
2016-10-17,171.9,179.8,171.4,175.5,175.6,1415350.0,2484.57
2016-10-14,157.45,172.4,156.25,170.85,171.45,2116512.0,3547.84
2016-10-13,164.4,164.4,155.1,156.2,156.75,481169.0,766.01
2016-10-10,164.0,169.0,163.55,164.5,164.45,811324.0,1350.25
2016-10-07,164.6,166.6,162.5,162.5,163.2,398323.0,653.41
2016-10-06,165.6,169.85,161.5,163.6,163.45,798149.0,1327.35
2016-10-05,163.4,168.25,161.5,164.45,165.5,718542.0,1188.92
2016-10-04,164.8,166.05,162.15,163.1,162.9,410622.0,673.99
2016-10-03,159.5,166.1,159.45,164.15,163.75,1193306.0,1961.3
2016-09-30,156.5,162.2,155.7,158.0,158.2,1357463.0,2152.55
2016-09-29,173.7,173.9,163.85,163.85,163.85,737481.0,1240.02
2016-09-28,164.95,172.45,163.5,172.45,172.45,1249338.0,2106.36
2016-09-27,165.7,169.5,162.55,164.0,164.25,885243.0,1472.34
2016-09-26,166.0,168.75,162.9,163.55,163.8,507693.0,841.1
2016-09-23,173.15,173.15,166.0,166.85,166.9,728876.0,1227.86
2016-09-22,172.85,175.7,170.65,171.5,172.25,767836.0,1327.67
2016-09-21,172.25,176.05,170.5,170.5,171.25,1223239.0,2123.58
2016-09-20,163.4,170.6,162.25,170.6,170.6,1092804.0,1827.93
2016-09-19,166.7,168.6,161.5,162.4,162.5,800886.0,1314.48
2016-09-16,173.5,177.85,164.0,164.0,165.4,920890.0,1566.35
2016-09-15,176.5,177.2,170.5,171.85,172.05,650940.0,1126.84
